Value,Count,MUKEY,musym,muname,aws0150wta,flodfreqdcd,AREASYMBOL,areaname,farmlndcl,tfact,drainagecl,runoff,cokey,hzdept_r,hzdepb_r,hzname,desgndisc,awc_r,chkey,hydriccriterion
172322,751.000000000000000,172322,UuB,"Urban land-Celina complex, 0 to 6 percent slopes",19.8999996,,OH045,"Fairfield County, Ohio",Not prime farmland,,Somewhat poorly drained,,23786488,,,,,,,
172323,83647.000000000000000,172323,UxB,"Urban land-Ockley complex, 0 to 6 percent slopes",18.8600006,,OH045,"Fairfield County, Ohio",Not prime farmland,,Very poorly drained,,23786374,,,,,,,3
172324,61061.000000000000000,172324,Uy,Urban land-Udorthents complex,,,OH045,"Fairfield County, Ohio",Not prime farmland,,,,23786264,,,,,,,
172325,12930.000000000000000,172325,WdA,"Wea silt loam, 0 to 2 percent slopes",23.3299999,None,OH045,"Fairfield County, Ohio",All areas are prime farmland,4,Well drained,Low,23786308,140,200,2C,2,0.0300000,70628170,
172326,58818.000000000000000,172326,WeC,"Wellston silt loam, 8 to 15 percent slopes",17.7299995,None,OH045,"Fairfield County, Ohio",Farmland of local importance,3,Well drained,,23786502,114,139,2R,2,,70628625,
172327,39663.000000000000000,172327,WfC,"Wellston-Cruze complex, 8 to 15 percent slopes",20.7600002,None,OH045,"Fairfield County, Ohio",Farmland of local importance,3,Well drained,Medium,23786266,140,147,H4,,,70628009,
172328,14401.000000000000000,172328,Wg,"Westland silt loam, overwash",24.9799995,None,OH045,"Fairfield County, Ohio",Prime farmland if drained,5,Very poorly drained,Negligible,23786378,203,218,H4,,0.0300000,70628295,2
172329,158123.000000000000000,172329,Wk,"Westland silty clay loam, Southern Ohio Till Plain, 0 to 2 percent slopes",19.0300007,None,OH045,"Fairfield County, Ohio",Prime farmland if drained,4,Poorly drained,Negligible,23786169,119,200,3C,3,0.0500000,70627784,3
172330,2463.000000000000000,172330,ZnB,"Zanesville silt loam, 3 to 8 percent slopes",19.0599995,None,OH045,"Fairfield County, Ohio",Farmland of local importance,3,Well drained,,23786178,114,139,2R,2,,70627816,
172331,14549.000000000000000,172331,ZnC2,"Zanesville silt loam, 8 to 15 percent slopes",19.0599995,None,OH045,"Fairfield County, Ohio",Farmland of local importance,3,Well drained,,23786413,76,101,Cr,,,70628422,
185277,1063.000000000000000,185277,EnC2,"Eldean gravelly loam, 6 to 12 percent slopes, eroded",12.5799999,None,OH045,"Fairfield County, Ohio",Farmland of local importance,3,Well drained,Medium,23786494,86,203,H3,,0.0300000,70628597,
185278,22641.000000000000000,185278,PkC2,"Pike silt loam, 6 to 12 percent slopes, eroded",27.5400009,None,OH045,"Fairfield County, Ohio",Farmland of local importance,5,Well drained,Medium,23786492,0,18,H1,,0.2100000,70628591,
185291,130678.000000000000000,185291,W,Water,,,OH045,"Fairfield County, Ohio",Not prime farmland,,,,23786270,,,,,,,
195776,49005.000000000000000,195776,Pu,"Pits, quarry",,,OH057,"Greene County, Ohio",Not prime farmland,,,,23799559,,,,,,,
195779,39264.000000000000000,195779,Pg,"Pits, gravel",,,OH057,"Greene County, Ohio",Not prime farmland,,,,23799618,,,,,,,
195780,38255.000000000000000,195780,Ud,Udorthents,,,OH057,"Greene County, Ohio",Not prime farmland,,,,23799688,,,,,,,
195781,208.000000000000000,195781,Du,Dumps,,,OH057,"Greene County, Ohio",Not prime farmland,,,,23799775,,,,,,,
198271,1266979.000000000000000,198271,CeB,"Celina silt loam, 2 to 6 percent slopes",20.2399998,None,OH135,"Preble County, Ohio",All areas are prime farmland,3,Somewhat poorly drained,Medium,24132657,23,71,2Bt,2,0.1200000,71730926,
198272,523146.000000000000000,198272,CeB2,"Celina silt loam, 2 to 6 percent slopes, eroded",14.6800003,None,OH135,"Preble County, Ohio",All areas are prime farmland,5,Very poorly drained,Negligible,24132738,28,104,Btg,,0.1500000,71731157,3
198295,30795.000000000000000,198295,FmA,"Fox silt loam, till substratum, 0 to 2 percent slopes",18.0400009,None,OH135,"Preble County, Ohio",All areas are prime farmland,3,Well drained,Low,24132581,94,163,2C1,2,0.0500000,71730772,
200237,43369.000000000000000,200237,MxA,"Morningsun-Xenia silt loams, 0 to 2 percent slopes",31.2600002,None,OH135,"Preble County, Ohio",All areas are prime farmland,,,,24132692,,,,,,,
200238,25365.000000000000000,200238,MxB,"Morningsun-Xenia silt loams, 2 to 6 percent slopes",29.1399994,None,OH135,"Preble County, Ohio",All areas are prime farmland,4,Moderately well drained,Low,24132443,0,23,H1,,0.2300000,71730373,
200239,6734.000000000000000,200239,MxB2,"Morningsun-Xenia silt loams, 2 to 6 percent slopes, eroded",27.9500008,None,OH135,"Preble County, Ohio",All areas are prime farmland,,,,24132449,,,,,,,
200240,68713.000000000000000,200240,SvA,"Sugarvalley silt loam, 0 to 2 percent slopes",29.5300007,None,OH135,"Preble County, Ohio",Prime farmland if drained,,,,24132602,,,,,,,
200241,48089.000000000000000,200241,SwA,"Sugarvalley-Fincastle silt loams, 0 to 2 percent slopes",27.9599991,None,OH135,"Preble County, Ohio",Prime farmland if drained,4,Somewhat poorly drained,Low,24132607,0,28,H1,,0.2300000,71730833,
200244,112183.000000000000000,200244,XeA,"Xenia silt loam, Southern Ohio Till Plain, 0 to 2 percent slopes",21.9799995,None,OH135,"Preble County, Ohio",All areas are prime farmland,4,Somewhat poorly drained,Low,24132753,69,127,2Bt2,2,0.1600000,71731218,
200245,68222.000000000000000,200245,XeB,"Xenia silt loam, Southern Ohio Till Plain, 2 to 6 percent slopes",25.5000000,None,OH135,"Preble County, Ohio",All areas are prime farmland,4,Well drained,Low,24132734,89,147,2Bt2,2,0.1700000,71731138,
200246,8900.000000000000000,200246,XeB2,"Xenia silt loam, Southern Ohio Till Plain, 2 to 6 percent slopes, eroded",21.3600006,None,OH135,"Preble County, Ohio",All areas are prime farmland,3,Well drained,Medium,24132566,30,61,2Bt2,2,0.1200000,71730703,
200272,87485.000000000000000,200272,FcA,"Fincastle silt loam, Southern Ohio Till Plain, 0 to 2 percent slopes",26.6499996,None,OH135,"Preble County, Ohio",Prime farmland if drained,5,Poorly drained,Negligible,24132661,0,36,Ap,,0.1800000,71730939,2
200330,115438.000000000000000,200330,MeD2,"Miamian silt loam, 12 to 18 percent slopes, eroded",16.9899998,None,OH135,"Preble County, Ohio",Not prime farmland,5,Well drained,Very high,24132508,10,41,Bw,,0.1500000,71730556,
207479,90.000000000000000,207479,AaA,"Adrian muck, Erie-Huron lake plain, 0 to 1 percent slopes",37.2900009,None,OH143,"Sandusky County, Ohio",Not prime farmland,1,Very poorly drained,Negligible,24176290,86,203,Cg,,0.0600000,71854236,1
210688,953480.000000000000000,210688,CtA,"Crosby-Celina silt loams, 0 to 2 percent slopes",15.9600000,None,OH135,"Preble County, Ohio",Prime farmland if drained,4,Somewhat poorly drained,Low,24132499,0,30,Ap,,0.2100000,71730518,
210696,569451.000000000000000,210696,CtB,"Crosby-Celina silt loams, 2 to 4 percent slopes, eroded",15.5500002,None,OH135,"Preble County, Ohio",Prime farmland if drained,3,Well drained,High,24132584,20,66,2Bt,2,0.0900000,71730788,
210754,58590.000000000000000,210754,CvA,"Crosby-Lewisburg silt loams, 0 to 2 percent slopes",14.5100002,None,OH135,"Preble County, Ohio",Prime farmland if drained,3,Somewhat poorly drained,Medium,24132674,36,71,2Bt2,2,0.1300000,71731004,
210758,12678.000000000000000,210758,DaB,"Dana silt loam, 2 to 6 percent slopes",25.7700005,None,OH135,"Preble County, Ohio",All areas are prime farmland,5,Poorly drained,Negligible,24132496,0,30,Ap,,0.1600000,71730508,2
210759,12027.000000000000000,210759,DaA,"Dana silt loam, 0 to 2 percent slopes",27.6599998,None,OH135,"Preble County, Ohio",All areas are prime farmland,,,,24132591,,,,,,,2
210767,9153.000000000000000,210767,LgC3,"Lewisburg clay loam, 6 to 12 percent slopes, severely eroded",17.6200008,None,OH135,"Preble County, Ohio",Not prime farmland,,,,24132687,,,,,,,
210770,30271.000000000000000,210770,LfB2,"Lewisburg-Celina clay loams, 2 to 6 percent slopes, eroded",18.5100002,None,OH135,"Preble County, Ohio",All areas are prime farmland,,,,24132683,,,,,,,
210771,46172.000000000000000,210771,LeB,"Lewisburg-Celina silt loams, 2 to 6 percent slopes",19.8600006,None,OH135,"Preble County, Ohio",All areas are prime farmland,3,Moderately well drained,Medium,24132439,23,86,H2,,0.1800000,71730368,
210772,654023.000000000000000,210772,MeC2,"Miamian silt loam, 6 to 12 percent slopes, eroded",14.4200001,None,OH135,"Preble County, Ohio",Not prime farmland,3,Well drained,High,24132520,17,60,2Bt,2,0.1300000,71730607,
210775,6589.000000000000000,210775,MeC,"Miamian silt loam, 6 to 12 percent slopes",17.3099995,None,OH135,"Preble County, Ohio",Not prime farmland,5,Very poorly drained,Negligible,24132490,28,104,Btg,,0.1500000,71730484,3
210858,744091.000000000000000,210858,MfB2,"Miamian-Celina silt loams, 2 to 6 percent slopes, eroded",16.7399998,None,OH135,"Preble County, Ohio",All areas are prime farmland,5,Very poorly drained,Negligible,24132749,76,127,Bt,,0.1500000,71731200,2
210859,336295.000000000000000,210859,MfB,"Miamian-Celina silt loams, 2 to 6 percent slopes",21.4500008,None,OH135,"Preble County, Ohio",All areas are prime farmland,3,Moderately well drained,Medium,24132594,25,86,H2,,0.1800000,71730814,
210860,230941.000000000000000,210860,MhD3,"Miamian-Losantville clay loams, 12 to 18 percent slopes, severely eroded",16.1800003,None,OH135,"Preble County, Ohio",Not prime farmland,1,Moderately well drained,Very high,24132526,8,36,H2,,0.1100000,71730633,
210861,440816.000000000000000,210861,MhC3,"Miamian-Losantville clay loams, 6 to 12 percent slopes, severely eroded",15.3500004,None,OH135,"Preble County, Ohio",Not prime farmland,,,,24132598,,,,,,,
210863,13395.000000000000000,210863,MuB,"Milton silt loam, 2 to 6 percent slopes",10.8100004,None,OH135,"Preble County, Ohio",All areas are prime farmland,2,Well drained,Medium,24132570,74,99,3R,3,,71730722,
210864,8251.000000000000000,210864,MuA,"Milton silt loam, 0 to 2 percent slopes",13.2299995,None,OH135,"Preble County, Ohio",All areas are prime farmland,,,,24132690,,,,,,,
210865,36267.000000000000000,210865,OcA,"Ockley silt loam, Southern Ohio Till Plain, 0 to 2 percent slopes",21.3299999,None,OH135,"Preble County, Ohio",All areas are prime farmland,3,Well drained,Low,24132653,79,200,2C,2,0.0300000,71730910,
210866,7562.000000000000000,210866,RcA,"Randolph silt loam, 0 to 2 percent slopes",12.8000002,None,OH135,"Preble County, Ohio",Prime farmland if drained,2,Somewhat poorly drained,Medium,24132530,84,89,H4,,,71730642,
210867,5583.000000000000000,210867,RcB,"Randolph silt loam, 2 to 6 percent slopes",11.5400000,None,OH135,"Preble County, Ohio",Prime farmland if drained,2,Somewhat poorly drained,Medium,24132697,81,89,H4,,,71731068,
210868,214408.000000000000000,210868,RpA,"Rossburg silt loam, moderately wet, sandy substratum, 0 to 1 percent slopes, occasionally flooded",23.3099995,Occasional,OH135,"Preble County, Ohio",All areas are prime farmland,4,Well drained,Negligible,24132588,132,203,H4,,0.0400000,71730809,
210869,60117.000000000000000,210869,ThA,"Thackery silt loam, 0 to 2 percent slopes",25.1599998,None,OH135,"Preble County, Ohio",All areas are prime farmland,,,,24132455,,,,,,,2
210870,16974.000000000000000,210870,WyB2,"Wynn silt loam, 2 to 6 percent slopes, eroded",11.8299999,None,OH135,"Preble County, Ohio",All areas are prime farmland,2,Very poorly drained,Negligible,24132523,64,89,2R,2,,71730619,2
210871,16503.000000000000000,210871,WyB,"Wynn silt loam, 2 to 6 percent slopes",13.7900000,None,OH135,"Preble County, Ohio",All areas are prime farmland,4,Well drained,Medium,24132681,20,99,Bt,,0.1900000,71731036,
244547,3621.000000000000000,244547,BeB,"Belmore loam, till substratum, 2 to 6 percent slopes",17.5799999,None,OH125,"Paulding County, Ohio",All areas are prime farmland,,,,24089499,,,,,,,2
244548,27181.000000000000000,244548,BkA,"Bixler loamy sand, clayey substratum, 0 to 2 percent slopes",17.5599995,None,OH125,"Paulding County, Ohio",Prime farmland if drained,5,Somewhat poorly drained,,24089503,0,25,H1,,0.1100000,71615758,
244549,8258.000000000000000,244549,BrB2,"Broughton silty clay loam, 2 to 6 percent slopes, eroded",10.3999996,None,OH125,"Paulding County, Ohio",Not prime farmland,,,,24089505,,,,,,,2
244550,9698.000000000000000,244550,BrC2,"Broughton silty clay loam, 6 to 12 percent slopes, eroded",10.8000002,None,OH125,"Paulding County, Ohio",Not prime farmland,,,,24089507,,,,,,,2
244551,26779.000000000000000,244551,BrD2,"Broughton silty clay loam, 12 to 18 percent slopes, eroded",10.3000002,None,OH125,"Paulding County, Ohio",Not prime farmland,,,,24089470,,,,,,,2
244552,28231.000000000000000,244552,BrE2,"Broughton silty clay loam, 18 to 35 percent slopes, eroded",11.3000002,None,OH125,"Paulding County, Ohio",Not prime farmland,5,Moderately well drained,,24089549,20,56,H2,,0.1000000,71615847,
244553,25004.000000000000000,244553,BsC3,"Broughton silty clay, 6 to 12 percent slopes, severely eroded",9.3900003,None,OH125,"Paulding County, Ohio",Not prime farmland,4,Moderately well drained,,24089472,13,30,H2,,0.1000000,71615709,
244554,23054.000000000000000,244554,BsD3,"Broughton silty clay, 12 to 18 percent slopes, severely eroded",9.2900000,None,OH125,"Paulding County, Ohio",Not prime farmland,4,Moderately well drained,,24089551,13,28,H2,,0.1000000,71615850,
244555,42005.000000000000000,244555,Db,"Defiance silty clay loam, occasionally flooded",22.0400009,Occasional,OH125,"Paulding County, Ohio",Prime farmland if drained,5,Somewhat poorly drained,,24089444,0,20,H1,,0.2200000,71615662,
244556,27597.000000000000000,244556,Dc,"Defiance silty clay loam, frequently flooded",21.3199997,Frequent,OH125,"Paulding County, Ohio",Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,5,Somewhat poorly drained,,24089446,0,20,H1,,0.2200000,71615665,
244559,40598.000000000000000,244559,Fb,"Flatrock silt loam, occasionally flooded",27.8500004,Occasional,OH125,"Paulding County, Ohio",All areas are prime farmland,,,,24089448,,,,,,,
244560,27671.000000000000000,244560,Fc,"Flatrock silt loam, frequently flooded",28.7600002,Frequent,OH125,"Paulding County, Ohio",Prime farmland if protected from flooding or not frequently flooded during the growing season,5,Moderately well drained,,24089450,112,203,H3,,0.1500000,71615673,
244561,49413.000000000000000,244561,FtA,"Fulton loam, 0 to 2 percent slopes",18.6900005,None,OH125,"Paulding County, Ohio",Prime farmland if drained,3,Somewhat poorly drained,,24089553,25,94,H2,,0.1100000,71615853,
244562,58373.000000000000000,244562,FuA,"Fulton silty clay loam, 0 to 2 percent slopes",18.7199993,None,OH125,"Paulding County, Ohio",Prime farmland if drained,,,,24089474,,,,,,,2
244563,8328.000000000000000,244563,FuB2,"Fulton silty clay loam, 2 to 6 percent slopes, eroded",17.7700005,None,OH125,"Paulding County, Ohio",Prime farmland if drained,5,Somewhat poorly drained,,24089556,18,79,H2,,0.1100000,71615857,
244564,66901.000000000000000,244564,FxA,"Fulton silty clay loam, loamy substratum, 0 to 2 percent slopes",20.3899994,None,OH125,"Paulding County, Ohio",Prime farmland if drained,5,Somewhat poorly drained,,24089477,23,112,H2,,0.1100000,71615715,
244565,9076.000000000000000,244565,FxB,"Fulton silty clay loam, loamy substratum, 2 to 6 percent slopes",19.1000004,None,OH125,"Paulding County, Ohio",Prime farmland if drained,,,,24089558,,,,,,,2
244567,9134.000000000000000,244567,Gr,"Granby loamy sand, clayey substratum",13.0400000,None,OH125,"Paulding County, Ohio",Not prime farmland,5,Very poorly drained,,24089509,94,155,H3,,0.0700000,71615767,2
244568,70702.000000000000000,244568,HaA,"Haskins loamy sand, 0 to 2 percent slopes",15.6400003,None,OH125,"Paulding County, Ohio",Prime farmland if drained,,,,24089511,,,,,,,
244569,52360.000000000000000,244569,HkA,"Haskins loam, 0 to 2 percent slopes",18.7199993,None,OH125,"Paulding County, Ohio",Prime farmland if drained,5,Somewhat poorly drained,,24089515,89,203,H3,,0.0800000,71615774,
244570,5859.000000000000000,244570,HkB,"Haskins loam, 2 to 6 percent slopes",17.9400005,None,OH125,"Paulding County, Ohio",Prime farmland if drained,5,Somewhat poorly drained,,24089517,76,203,H3,,0.0800000,71615777,
244571,254799.000000000000000,244571,HcA,"Hoytville silty clay loam, 0 to 1 percent slopes",15.1800003,None,OH125,"Paulding County, Ohio",Prime farmland if drained,4,Somewhat poorly drained,Low,24089579,0,25,Ap,,0.1800000,71615905,
244572,1644423.000000000000000,244572,HtA,"Hoytville silty clay, 0 to 1 percent slopes",14.8699999,None,OH125,"Paulding County, Ohio",Prime farmland if drained,5,Very poorly drained,Negligible,24089497,0,20,Ap,,0.1200000,71615742,2
244573,24310.000000000000000,244573,Kn,"Knoxdale silt loam, occasionally flooded",27.4099998,Occasional,OH125,"Paulding County, Ohio",All areas are prime farmland,5,Well drained,,24089560,89,203,H3,,0.1500000,71615863,
244574,8543.000000000000000,244574,La,"Landes loam, occasionally flooded",20.6599998,Occasional,OH125,"Paulding County, Ohio",All areas are prime farmland,5,Well drained,,24089479,66,203,H3,,0.1000000,71615717,
244575,115688.000000000000000,244575,Lb,Latty silty clay loam,17.2199993,None,OH125,"Paulding County, Ohio",Prime farmland if drained,5,Very poorly drained,,24089452,18,114,H2,,0.1100000,71615675,2
244576,2506707.000000000000000,244576,Lc,"Latty silty clay, till substratum, 0 to 1 percent slopes",16.1800003,None,OH125,"Paulding County, Ohio",Prime farmland if drained,5,Very poorly drained,Negligible,24089543,0,18,Ap,,0.1300000,71615826,2
244577,24309.000000000000000,244577,LtA,"Lucas silt loam, loamy substratum, 0 to 2 percent slopes",20.9400005,None,OH125,"Paulding County, Ohio",All areas are prime farmland,5,Moderately well drained,,24089455,23,71,H2,,0.1100000,71615679,
244578,14519.000000000000000,244578,LuB2,"Lucas silty clay loam, loamy substratum, 2 to 6 percent slopes, eroded",20.0400009,None,OH125,"Paulding County, Ohio",All areas are prime farmland,5,Moderately well drained,,24089457,0,18,H1,,0.1800000,71615681,
244579,9029.000000000000000,244579,LuC2,"Lucas silty clay loam, loamy substratum, 6 to 12 percent slopes, eroded",21.2999992,None,OH125,"Paulding County, Ohio",Not prime farmland,,,,24089480,,,,,,,2
244580,26515.000000000000000,244580,Md,"Medway silt loam, occasionally flooded",25.4699993,Occasional,OH125,"Paulding County, Ohio",All areas are prime farmland,5,Moderately well drained,,24089562,147,203,H4,,0.1200000,71615867,
244581,40204.000000000000000,244581,Me,Mermill loam,19.2500000,None,OH125,"Paulding County, Ohio",Prime farmland if drained,5,Very poorly drained,,24089482,94,203,H3,,0.0800000,71615725,2
244582,3168.000000000000000,244582,Mg,"Millgrove loam, till substratum",21.6399994,None,OH125,"Paulding County, Ohio",Prime farmland if drained,5,Very poorly drained,,24089563,91,127,H3,,0.1200000,71615871,2
244583,147341.000000000000000,244583,NnA,"Nappanee loam, 0 to 2 percent slopes",17.6299992,None,OH125,"Paulding County, Ohio",Prime farmland if drained,3,Somewhat poorly drained,,24089519,25,69,H2,,0.1100000,71615778,
244584,686018.000000000000000,244584,NpA,"Nappanee silty clay loam, 0 to 2 percent slopes",17.1299992,None,OH125,"Paulding County, Ohio",Prime farmland if drained,5,Somewhat poorly drained,,24089521,25,69,H2,,0.1100000,71615782,
244585,23343.000000000000000,244585,NpB,"Nappanee silty clay loam, 2 to 6 percent slopes",17.1700001,None,OH125,"Paulding County, Ohio",Prime farmland if drained,,,,24089523,,,,,,,2
244586,53272.000000000000000,244586,NpB2,"Nappanee silty clay loam, 2 to 6 percent slopes, eroded",16.5400009,None,OH125,"Paulding County, Ohio",Prime farmland if drained,,,,24089525,,,,,,,2
244587,2783.000000000000000,244587,OsB,"Oshtemo sandy loam, till substratum, 2 to 6 percent slopes",20.5900002,None,OH125,"Paulding County, Ohio",All areas are prime farmland,,,,24089527,,,,,,,
244588,7126.000000000000000,244588,OtB,"Ottokee loamy sand, 0 to 6 percent slopes",12.7500000,None,OH125,"Paulding County, Ohio",Not prime farmland,,,,24089484,,,,,,,2
244589,2851544.000000000000000,244589,Pc,"Paulding clay, 0 to 1 percent slopes",8.5500002,None,OH125,"Paulding County, Ohio",Not prime farmland,4,Somewhat poorly drained,Medium,24089539,0,25,Ap,,0.1100000,71615810,
244590,15846.000000000000000,244590,Pt,"Pits, quarry",,,OH125,"Paulding County, Ohio",Not prime farmland,,,,24089487,,,,,,,
244591,35004.000000000000000,244591,RkA,"Rimer loamy sand, 0 to 2 percent slopes",15.5200005,None,OH125,"Paulding County, Ohio",Prime farmland if drained,,,,24089565,,,,,,,2
244592,9481.000000000000000,244592,RkB,"Rimer loamy sand, 2 to 6 percent slopes",14.9600000,None,OH125,"Paulding County, Ohio",Prime farmland if drained,,,,24089459,,,,,,,2
244593,23598.000000000000000,244593,RmA,"Rimer-Fulton complex, 0 to 2 percent slopes",17.0200005,None,OH125,"Paulding County, Ohio",Prime farmland if drained,,,,24089461,,,,,,,2
244594,40078.000000000000000,244594,RnA,"Roselms loam, 0 to 2 percent slopes",13.5000000,None,OH125,"Paulding County, Ohio",Not prime farmland,5,Somewhat poorly drained,,24089464,23,74,H2,,0.1000000,71615697,
244595,523516.000000000000000,244595,RoA,"Roselms silty clay loam, 0 to 2 percent slopes",12.6000004,None,OH125,"Paulding County, Ohio",Not prime farmland,,,,24089466,,,,,,,2
244596,27749.000000000000000,244596,RoB,"Roselms silty clay loam, 2 to 6 percent slopes",13.8299999,None,OH125,"Paulding County, Ohio",Not prime farmland,,,,24089567,,,,,,,2
244597,148203.000000000000000,244597,RpA,"Roselms silty clay, 0 to 2 percent slopes",12.1999998,None,OH125,"Paulding County, Ohio",Not prime farmland,,,,24089488,,,,,,,2
244598,36719.000000000000000,244598,RpB2,"Roselms silty clay, 2 to 6 percent slopes, eroded",10.5900002,None,OH125,"Paulding County, Ohio",Not prime farmland,5,Somewhat poorly drained,,24089569,15,66,H2,,0.0900000,71615881,
244599,44324.000000000000000,244599,Rt,"Rossburg silt loam, occasionally flooded",27.1200008,Occasional,OH125,"Paulding County, Ohio",All areas are prime farmland,5,Well drained,,24089491,0,38,H1,,0.2200000,71615733,
244600,168059.000000000000000,244600,Sb,"Saranac silty clay loam, occasionally flooded",24.4599991,Occasional,OH125,"Paulding County, Ohio",Prime farmland if drained,,,,24089531,,,,,,,
244601,31259.000000000000000,244601,Sh,"Shoals silt loam, occasionally flooded",29.4599991,Occasional,OH125,"Paulding County, Ohio",Prime farmland if drained,,,,24089533,,,,,,,2
244602,8736.000000000000000,244602,Sk,"Shoals silt loam, frequently flooded",29.4599991,Frequent,OH125,"Paulding County, Ohio",Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,,,,24089535,,,,,,,2
244603,6809.000000000000000,244603,StB2,"St. Clair silty clay loam, 2 to 6 percent slopes, eroded",17.4400005,None,OH125,"Paulding County, Ohio",All areas are prime farmland,,,,24089537,,,,,,,2
244604,16130.000000000000000,244604,StC2,"St. Clair silty clay loam, 6 to 12 percent slopes, eroded",16.9099998,None,OH125,"Paulding County, Ohio",Not prime farmland,,,,24089492,,,,,,,2
244605,17594.000000000000000,244605,StD2,"St. Clair silty clay loam, 12 to 18 percent slopes, eroded",17.1499996,None,OH125,"Paulding County, Ohio",Not prime farmland,,,,24089571,,,,,,,2
244606,33000.000000000000000,244606,StE2,"St. Clair silty clay loam, 18 to 35 percent slopes, eroded",16.4300003,None,OH125,"Paulding County, Ohio",Not prime farmland,,,,24089495,,,,,,,2
244607,13550.000000000000000,244607,SuC3,"St. Clair silty clay, 6 to 12 percent slopes, severely eroded",15.6999998,None,OH125,"Paulding County, Ohio",Not prime farmland,,,,24089573,,,,,,,2
244609,17123.000000000000000,244609,SuE3,"St. Clair silty clay, 12 to 25 percent slopes, severely eroded",15.5299997,None,OH125,"Paulding County, Ohio",Not prime farmland,4,Well drained,,24089431,23,203,H3,,0.1000000,71615654,
244610,12484.000000000000000,244610,TeA,"Tedrow loamy sand, 0 to 3 percent slopes",12.6599998,None,OH125,"Paulding County, Ohio",Not prime farmland,5,Somewhat poorly drained,,24089433,112,203,H3,,0.0600000,71615658,
244611,134582.000000000000000,244611,Tn,Toledo silty clay loam,18.1599998,None,OH125,"Paulding County, Ohio",Prime farmland if drained,5,Very poorly drained,,24089435,0,23,H1,,0.2000000,71615659,2
244612,150035.000000000000000,244612,To,"Toledo silty clay, 0 to 1 percent slopes",18.0599995,None,OH125,"Paulding County, Ohio",Prime farmland if drained,5,Very poorly drained,Negligible,24089575,0,23,Ap,,0.1300000,71615889,2
244613,50623.000000000000000,244613,Uc,"Udorthents, clayey, hilly",,,OH125,"Paulding County, Ohio",Not prime farmland,,,,24089437,,,,,,,
244614,92518.000000000000000,244614,W,Water,,,OH125,"Paulding County, Ohio",Not prime farmland,,,,24089468,,,,,,,
244615,128204.000000000000000,244615,Wb,"Wabasha silty clay loam, frequently flooded",22.1000004,Frequent,OH125,"Paulding County, Ohio",Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,,,,24089547,,,,,,,
244616,298.000000000000000,244616,WhA,"Whitaker loam, 0 to 2 percent slopes",28.2900009,None,OH125,"Paulding County, Ohio",Prime farmland if drained,5,Somewhat poorly drained,,24089469,33,112,H2,,0.1700000,71615703,
246162,20737.000000000000000,246162,AgA,"Alvada loam, 0 to 1 percent slopes",20.3600006,None,OH173,"Wood County, Ohio",Prime farmland if drained,5,Very poorly drained,Negligible,24717705,117,127,H4,,0.1000000,73500949,2
278182,39151.000000000000000,278182,PeC2,"Pierpont silt loam, 6 to 12 percent slopes, eroded",11.7600002,None,OH007,"Ashtabula County, Ohio",Farmland of local importance,4,Somewhat poorly drained,,23696414,0,19,Ap,,0.2300000,70335327,
286787,4908.000000000000000,286787,Ad,Adrian muck,27.0200005,Frequent,OH085,"Lake County, Ohio",Not prime farmland,,,,23870825,,,,,,,4
286788,121241.000000000000000,286788,As,Allis silt loam,11.4600000,None,OH085,"Lake County, Ohio",Not prime farmland,,,,23870767,,,,,,,
286789,16932.000000000000000,286789,Bs,Beaches,,,OH085,"Lake County, Ohio",Not prime farmland,,,,23870828,,,,,,,
286790,34440.000000000000000,286790,Cg,Carlisle muck,57.5299988,Frequent,OH085,"Lake County, Ohio",Not prime farmland,,,,23870769,,,,,,,4
286791,45513.000000000000000,286791,CoB,"Colonie loamy fine sand, 2 to 6 percent slopes",10.7399998,None,OH085,"Lake County, Ohio",Farmland of unique importance,,,,23870716,,,,,,,
286792,10929.000000000000000,286792,CoD,"Colonie loamy fine sand, 6 to 18 percent slopes",10.7399998,None,OH085,"Lake County, Ohio",Not prime farmland,,,,23870718,,,,,,,
286793,30055.000000000000000,286793,CoF,"Colonie loamy fine sand, 25 to 50 percent slopes",10.7399998,None,OH085,"Lake County, Ohio",Not prime farmland,,,,23870720,,,,,,,
286794,550213.000000000000000,286794,CtA,"Conneaut silt loam, 0 to 1 percent slopes",23.0300007,None,OH085,"Lake County, Ohio",Prime farmland if drained,,,,23870724,,,,,,,2
286795,229636.000000000000000,286795,CtB,"Conneaut silt loam, 1 to 4 percent slopes",23.0300007,None,OH085,"Lake County, Ohio",Prime farmland if drained,,,,23870771,,,,,,,
286796,28835.000000000000000,286796,CwA,"Conneaut silt loam, shale substratum, 0 to 2 percent slopes",15.9499998,None,OH085,"Lake County, Ohio",Prime farmland if drained,4,Poorly drained,Negligible,23870829,0,20,H1,,0.1900000,70931259,2
286797,25640.000000000000000,286797,CxA,"Conotton loam, 0 to 2 percent slopes",12.6400003,None,OH085,"Lake County, Ohio",All areas are prime farmland,4,Somewhat excessively drained,Very low,23870774,0,25,H1,,0.1400000,70931168,
286798,50690.000000000000000,286798,CyB,"Conotton gravelly loam, 2 to 6 percent slopes",12.1400003,None,OH085,"Lake County, Ohio",Farmland of unique importance,,,,23870830,,,,,,,
